DB04441	2-Fluoroadenosine
DB00597	Gadoteridol
DB00538	Gadoversetamide
DB08884	Gadoxetate
DB00674	Galantamine
DB01004	Ganciclovir
DB01044	Gatifloxacin
DB00317	Gefitinib
DB00441	Gemcitabine
DB01241	Gemfibrozil
DB01155	Gemifloxacin
DB00798	Gentamicin
DB01120	Gliclazide
DB00222	Glimepiride
DB01067	Glipizide
DB01016	Glyburide
DB04077	Glycerol
DB00145	Glycine
DB00986	Glycopyrrolate
DB00644	Gonadorelin
DB00014	Goserelin
DB00889	Granisetron
DB00400	Griseofulvin
DB00874	Guaifenesin
DB00629	Guanabenz
DB01018	Guanfacine
DB00536	Guanidine
DB05891	HD-O
DB01218	Halofantrine
DB00502	Haloperidol
DB00756	Hexachlorophene
DB02351	Hirulog
DB01275	Hydralazine
DB00999	Hydrochlorothiazide
DB00956	Hydrocodone
DB00741	Hydrocortisone
DB00774	Hydroflumethiazide
DB00327	Hydromorphone
DB00200	Hydroxocobalamin
DB01611	Hydroxychloroquine
DB01005	Hydroxyurea
DB00557	Hydroxyzine
DB00424	Hyoscyamine
DB00710	Ibandronate
DB01050	Ibuprofen
DB00308	Ibutilide
DB06196	Icatibant
DB00159	Icosapent
DB01177	Idarubicin
DB00249	Idoxuridine
DB01181	Ifosfamide
DB04946	Iloperidone
DB00619	Imatinib
DB00458	Imipramine
DB00724	Imiquimod
DB05039	Indacaterol
DB00808	Indapamide
DB00224	Indinavir
DB00328	Indomethacin
DB06704	Iobenguane
DB04711	Iodipamide
DB01249	Iodixanol
DB01362	Iohexol
DB08947	Iopamidol
DB01029	Irbesartan
DB00762	Irinotecan
DB01592	Iron
DB08944	Isoaminile
DB01247	Isocarboxazid
DB00753	Isoflurane
DB00951	Isoniazid
DB01064	Isoprenaline
DB00982	Isotretinoin
DB08941	Isoxsuprine
DB00270	Isradipine
DB01167	Itraconazole
DB08820	Ivacaftor
DB00602	Ivermectin
DB04845	Ixabepilone
DB01172	Kanamycin
DB01221	Ketamine
DB01026	Ketoconazole
DB01009	Ketoprofen
DB00465	Ketorolac
DB00920	Ketotifen
DB00125	L-Arginine
DB00583	L-Carnitine
DB01235	L-DOPA
DB00130	L-Glutamine
DB00598	Labetalol
DB06218	Lacosamide
DB00581	Lactulose
DB00709	Lamivudine
DB00555	Lamotrigine
DB00448	Lansoprazole
DB01259	Lapatinib
DB00654	Latanoprost
DB01097	Leflunomide
DB00480	Lenalidomide
DB00528	Lercanidipine
DB01006	Letrozole
DB00650	Leucovorin
DB01202	Levetiracetam
DB01210	Levobunolol
DB01002	Levobupivacaine
DB01106	Levocabastine
DB01137	Levofloxacin
DB08918	Levomilnacipran
DB00367	Levonorgestrel
DB00854	Levorphanol
DB00922	Levosimendan
DB00451	Levothyroxine
DB00281	Lidocaine
DB08882	Linagliptin
DB01627	Lincomycin
DB00431	Lindane
DB00601	Linezolid
DB00279	Liothyronine
DB01255	Lisdexamfetamine
DB00722	Lisinopril
DB00589	Lisuride
DB01356	Lithium
DB00978	Lomefloxacin
DB08827	Lomitapide
DB01206	Lomustine
DB00836	Loperamide
DB00455	Loratadine
DB00186	Lorazepam
DB00678	Losartan
DB00227	Lovastatin
DB00408	Loxapine
DB01046	Lubiprostone
DB08815	Lurasidone
DB05289	MPC-7869
DB06795	Mafenide
DB08938	Magaldrate
DB01378	Magnesium
DB00772	Malathion
DB00742	Mannitol
DB00934	Maprotiline
DB04835	Maraviroc
DB00643	Mebendazole
DB00657	Mecamylamine
DB00888	Mechlorethamine
DB00737	Meclizine
DB00253	Medrysone
DB00358	Mefloquine
DB01065	Melatonin
DB00814	Meloxicam
DB01042	Melphalan
DB01043	Memantine
DB04843	Mepenzolate
DB00532	Mephenytoin
DB00961	Mepivacaine
DB00371	Meprobamate
DB06691	Mepyramine
DB01033	Mercaptopurine
DB00760	Meropenem
DB00244	Mesalazine
DB02577	Mesoheme
DB04817	Metamizole
DB00660	Metaxalone
DB00331	Metformin
DB06709	Methacholine
DB00333	Methadone
DB01577	Methamphetamine
DB04819	Methapyrilene
DB00703	Methazolamide
DB00763	Methimazole
DB00423	Methocarbamol
DB00474	Methohexital
DB00563	Methotrexate
DB01403	Methotrimeprazine
DB00553	Methoxsalen
DB05246	Methsuximide
DB00232	Methyclothiazide
DB00968	Methyldopa
DB00353	Methylergometrine
DB06800	Methylnaltrexone
DB00422	Methylphenidate
DB00959	Methylprednisolone
DB06710	Methyltestosterone
DB00247	Methysergide
DB01214	Metipranolol
DB01233	Metoclopramide
DB00524	Metolazone
DB00264	Metoprolol
DB00916	Metronidazole
DB01011	Metyrapone
DB00765	Metyrosine
DB00379	Mexiletine
DB06148	Mianserin
DB01141	Micafungin
DB01110	Miconazole
DB00683	Midazolam
DB00211	Midodrine
DB00834	Mifepristone
DB00491	Miglitol
DB00419	Miglustat
DB04896	Milnacipran
DB00235	Milrinone
DB08893	Mirabegron
DB00370	Mirtazapine
DB00929	Misoprostol
DB00305	Mitomycin
DB00648	Mitotane
DB01204	Mitoxantrone
DB01226	Mivacurium
DB01171	Moclobemide
DB00745	Modafinil
DB01618	Molindone
DB00764	Mometasone
DB00600	Monobenzone
DB00471	Montelukast
DB00295	Morphine
DB00218	Moxifloxacin
DB00410	Mupirocin
DB05318	NGX-4010
DB00486	Nabilone
DB00461	Nabumetone
DB01203	Nadolol
DB00666	Nafarelin
DB00607	Nafcillin
DB00735	Naftifine
DB00844	Nalbuphine
DB01183	Naloxone
DB00704	Naltrexone
DB06711	Naphazoline
DB00788	Naproxen
DB00952	Naratriptan
DB00826	Natamycin
DB00731	Nateglinide
DB04861	Nebivolol
DB00716	Nedocromil
DB01149	Nefazodone
DB01280	Nelarabine
DB00220	Nelfinavir
DB00994	Neomycin
DB01400	Neostigmine
DB06802	Nepafenac
DB00238	Nevirapine
DB00627	Niacin
DB00622	Nicardipine
DB00184	Nicotine
DB01115	Nifedipine
DB04868	Nilotinib
DB00665	Nilutamide
DB00393	Nimodipine
DB00401	Nisoldipine
DB00507	Nitazoxanide
DB00348	Nitisinone
DB01595	Nitrazepam
DB00698	Nitrofurantoin
DB00727	Nitroglycerin
DB00585	Nizatidine
DB00368	Norepinephrine
DB00717	Norethindrone
DB01059	Norfloxacin
DB00540	Nortriptyline
DB05461	OPC-28326
DB05837	OSI-7836
DB05143	OXI4503
DB00104	Octreotide
DB01165	Ofloxacin
DB00275	Olmesartan
DB00768	Olopatadine
DB00338	Omeprazole
DB00904	Ondansetron
DB00816	Orciprenaline
DB04911	Oritavancin
DB01083	Orlistat
DB01173	Orphenadrine
DB00198	Oseltamivir
DB04938	Ospemifene
DB00713	Oxacillin
DB00621	Oxandrolone
DB00991	Oxaprozin
DB00842	Oxazepam
DB00776	Oxcarbazepine
DB00239	Oxiconazole
DB01580	Oxprenolol
DB01062	Oxybutynin
DB00497	Oxycodone
DB01192	Oxymorphone
DB01229	Paclitaxel
DB01267	Paliperidone
DB00377	Palonosetron
DB00282	Pamidronate
DB01337	Pancuronium
DB00213	Pantoprazole
DB01113	Papaverine
DB00910	Paricalcitol
DB01421	Paromomycin
DB00715	Paroxetine
DB06663	Pasireotide
DB06589	Pazopanib
DB00642	Pemetrexed
DB00885	Pemirolast
DB01359	Penbutolol
DB00299	Penciclovir
DB00859	Penicillamine
DB00738	Pentamidine
DB00652	Pentazocine
DB00312	Pentobarbital
DB00552	Pentostatin
DB00806	Pentoxifylline
DB00556	Perflutren
DB01186	Pergolide
DB01074	Perhexiline
DB00790	Perindopril
DB04930	Permethrin
DB00850	Perphenazine
DB00454	Pethidine
DB01438	Phenazopyridine
DB03575	Phencyclidine
DB01579	Phendimetrazine
DB00780	Phenelzine
DB01174	Phenobarbital
DB00925	Phenoxybenzamine
DB00191	Phentermine
DB00692	Phentolamine
DB00388	Phenylephrine
DB00397	Phenylpropanolamine
DB00252	Phenytoin
DB01022	Phylloquinone
DB00981	Physostigmine
DB04874	Picoplatin
DB01085	Pilocarpine
DB00337	Pimecrolimus
DB01100	Pimozide
DB00960	Pindolol
DB01132	Pioglitazone
DB00319	Piperacillin
DB01291	Pirbuterol
DB04951	Pirfenidone
DB08860	Pitavastatin
DB06809	Plerixafor
DB01179	Podofilox
DB01324	Polythiazide
DB08910	Pomalidomide
DB08901	Ponatinib
DB01263	Posaconazole
DB06813	Pralatrexate
DB00733	Pralidoxime
DB00413	Pramipexole
DB06209	Prasugrel
DB00175	Pravastatin
DB01058	Praziquantel
DB00457	Prazosin
DB01130	Prednicarbate
DB00860	Prednisolone
DB00635	Prednisone
DB00230	Pregabalin
DB00750	Prilocaine
DB01087	Primaquine
DB00794	Primidone
DB01032	Probenecid
DB01035	Procainamide
DB00721	Procaine
DB01168	Procarbazine
DB00433	Prochlorperazine
DB00396	Progesterone
DB01131	Proguanil
DB01069	Promethazine
DB01182	Propafenone
DB00782	Propantheline
DB00807	Proparacaine
DB01608	Propericiazine
DB00818	Propofol
DB00571	Propranolol
DB00550	Propylthiouracil
DB00344	Protriptyline
DB00852	Pseudoephedrine
DB00339	Pyrazinamide
DB00545	Pyridostigmine
DB00165	Pyridoxine
DB00205	Pyrimethamine
DB01589	Quazepam
DB01224	Quetiapine
DB00881	Quinapril
DB00908	Quinidine
DB00468	Quinine
DB01129	Rabeprazole
DB00481	Raloxifene
DB06817	Raltegravir
DB00293	Raltitrexed
DB00980	Ramelteon
DB00178	Ramipril
DB00863	Ranitidine
DB00243	Ranolazine
DB01367	Rasagiline
DB00234	Reboxetine
DB06213	Regadenoson
DB08896	Regorafenib
DB00899	Remifentanil
DB00912	Repaglinide
DB01180	Rescinnamine
DB00206	Reserpine
DB00811	Ribavirin
DB00615	Rifabutin
DB01220	Rifaximin
DB08864	Rilpivirine
DB00740	Riluzole
DB00478	Rimantadine
DB00896	Rimexolone
DB06155	Rimonabant
DB00884	Risedronate
DB00734	Risperidone
DB00503	Ritonavir
DB06228	Rivaroxaban
DB00989	Rivastigmine
DB00953	Rizatriptan
DB00728	Rocuronium
DB00533	Rofecoxib
DB01656	Roflumilast
DB00268	Ropinirole
DB00296	Ropivacaine
DB00412	Rosiglitazone
DB01098	Rosuvastatin
DB05271	Rotigotine
DB00778	Roxithromycin
DB06201	Rufinamide
DB08877	Ruxolitinib
DB05665	SCH-503034
DB01001	Salbutamol
DB00938	Salmeterol
DB01399	Salsalate
DB01232	Saquinavir
DB04996	Satraplatin
DB06335	Saxagliptin
DB00747	Scopolamine
DB00418	Secobarbital
DB01037	Selegiline
DB01153	Sertaconazole
DB01104	Sertraline
DB00658	Sevelamer
DB01236	Sevoflurane
DB01105	Sibutramine
DB00203	Sildenafil
DB06207	Silodosin
DB00641	Simvastatin
DB00877	Sirolimus
DB01261	Sitagliptin
DB06268	Sitaxentan
DB08934	Sofosbuvir
DB01591	Solifenacin
DB00398	Sorafenib
DB00489	Sotalol
DB01208	Sparfloxacin
DB00919	Spectinomycin
DB00421	Spironolactone
DB00649	Stavudine
DB01082	Streptomycin
DB00428	Streptozocin
DB00566	Succimer
DB00202	Succinylcholine
DB00364	Sucralfate
DB00708	Sufentanil
DB00634	Sulfacetamide
DB00359	Sulfadiazine
DB01015	Sulfamethoxazole
DB00259	Sulfanilamide
DB00605	Sulindac
DB00669	Sumatriptan
DB01268	Sunitinib
DB00870	Suprofen
DB05083	TMC278
DB00864	Tacrolimus
DB00820	Tadalafil
DB08819	Tafluprost
DB00675	Tamoxifen
DB00706	Tamsulosin
DB06204	Tapentadol
DB00799	Tazarotene
DB01079	Tegaserod
DB05521	Telaprevir
DB06402	Telavancin
DB01265	Telbivudine
DB00976	Telithromycin
DB00966	Telmisartan
DB00231	Temazepam
DB08836	Temocapril
DB00853	Temozolomide
DB06287	Temsirolimus
DB00444	Teniposide
DB00300	Tenofovir
DB00469	Tenoxicam
DB01162	Terazosin
DB00857	Terbinafine
DB00871	Terbutaline
DB00251	Terconazole
DB02638	Terlipressin
DB00894	Testolactone
DB00624	Testosterone
DB04844	Tetrabenazine
DB00360	Tetrahydrobiopterin
DB01041	Thalidomide
DB00277	Theophylline
DB00730	Thiabendazole
DB00152	Thiamine
DB00679	Thioridazine
DB04572	Thiotepa
DB01623	Thiothixene
DB00906	Tiagabine
DB08816	Ticagrelor
DB01607	Ticarcillin
DB00208	Ticlopidine
DB01133	Tiludronate
DB00373	Timolol
DB00911	Tinidazole
DB00352	Tioguanine
DB01409	Tiotropium
DB00775	Tirofiban
DB00697	Tizanidine
DB00684	Tobramycin
DB00839	Tolazamide
DB01124	Tolbutamide
DB00323	Tolcapone
DB00500	Tolmetin
DB01036	Tolterodine
DB06212	Tolvaptan
DB00273	Topiramate
DB01030	Topotecan
DB00214	Torasemide
DB00539	Toremifene
DB05109	Trabectedin
DB00193	Tramadol
DB08911	Trametinib
DB00519	Trandolapril
DB00752	Tranylcypromine
DB00287	Travoprost
DB00656	Trazodone
DB00374	Treprostinil
DB00755	Tretinoin
DB00620	Triamcinolone
DB00384	Triamterene
DB00897	Triazolam
DB08604	Triclosan
DB00831	Trifluoperazine
DB00432	Trifluridine
DB00376	Trihexyphenidyl
DB00347	Trimethadione
DB00662	Trimethobenzamide
DB00440	Trimethoprim
DB01157	Trimetrexate
DB00726	Trimipramine
DB00197	Troglitazone
DB00809	Tropicamide
DB00209	Trospium
DB00685	Trovafloxacin
DB05251	VRX496
DB00577	Valaciclovir
DB00580	Valdecoxib
DB01610	Valganciclovir
DB00385	Valrubicin
DB00177	Valsartan
DB00512	Vancomycin
DB05294	Vandetanib
DB00862	Vardenafil
DB01273	Varenicline
DB01339	Vecuronium
DB08881	Vemurafenib
DB00285	Venlafaxine
DB00661	Verapamil
DB00460	Verteporfin
DB00194	Vidarabine
DB01080	Vigabatrin
DB06684	Vilazodone
DB04876	Vildagliptin
DB00570	Vinblastine
DB00541	Vincristine
DB00361	Vinorelbine
DB08828	Vismodegib
DB00582	Voriconazole
DB02546	Vorinostat
DB05389	WF10
DB00549	Zafirlukast
DB00943	Zalcitabine
DB00962	Zaleplon
DB00558	Zanamivir
DB00495	Zidovudine
DB00744	Zileuton
DB01593	Zinc
DB00246	Ziprasidone
DB00399	Zoledronate
DB00315	Zolmitriptan
DB00425	Zolpidem
DB00909	Zonisamide
DB01198	Zopiclone
DB01624	Zuclopenthixol
DB08439	parecoxib
