C0000727	Acute abdomen
C0003493	Aortic disorder
C0003504	Aortic valve incompetence
C0003507	Aortic valve stenosis
C0003537	Aphasia
C0003564	Aphonia
C0003578	Apnoea
C0003615	Appendicitis
C0003621	Appetite disorder
C0003635	Apraxia
C0003708	Arachnoiditis
C0003742	Arcus senilis
C0003811	Arrhythmia
C0003813	Sinus arrhythmia
C0003834	Arterial insufficiency
C0003838	Arterial occlusive disease
C0003850	Arteriosclerosis
C0003855	Arteriovenous fistula
C0003860	Arteritis
C0003862	Arthralgia
C0003864	Arthritis
C0003868	Gouty arthritis
C0003869	Arthritis infective
C0003873	Rheumatoid arthritis
C0003892	Neuropathic arthropathy
C0003950	Ascariasis
C0003962	Ascites
C0004030	Aspergillosis
C0004044	Asphyxia
C0004063	Assault
C0004093	Asthenia
C0004095	Asthenopia
C0004096	Asthma
C0004114	Astrocytoma
C0004134	Ataxia
C0004144	Atelectasis
C0004153	Atherosclerosis
C0004158	Athetosis
C0004161	Sports injury
C0004238	Atrial fibrillation
C0004239	Atrial flutter
C0004245	Atrioventricular block
C0004331	Atrioventricular dissociation
C0004364	Autoimmune disorder
C0004377	Automatism
C0004509	Azoospermia
C0004601	Back injury
C0004604	Back pain
C0004610	Bacteraemia
C0004623	Bacterial infection
C0004626	Pneumonia bacterial
C0004659	Bacteriuria
C0004690	Balanitis
C0004691	Balanoposthitis
C0004763	Barrett's oesophagus
C0004767	Bartholin's cyst
C0004812	Basilar artery syndrome
C0004930	Behavior disorder
C0004936	Mental disorder
C0004998	Benign neoplasm of skin
C0005001	Benign prostatic hypertrophy
C0005398	Cholestasis extrahepatic
C0005411	Atresia biliary
C0005424	Biliary tract disorder
C0005586	Bipolar disorder
C0005681	Blackwater fever
C0005683	Calculus bladder
C0005684	Bladder cancer
C0005686	Bladder disorder
C0005694	Bladder neck obstruction
C0005695	Bladder neoplasm
C0005697	Neurogenic bladder
C0005699	Blast cell crisis
C0005716	Blastomycosis
C0005741	Blepharitis
C0005743	Blepharoconjunctivitis
C0005745	Eyelid ptosis
C0005747	Blepharospasm
C0005758	Blister
C0005778	Clotting
C0005779	Coagulopathy
C0005818	Platelet disorder
C0005826	Blood pressure abnormal
C0005940	Bone disorder
C0005944	Bone metabolism disorder
C0005959	Marrow hyperplasia
C0005967	Bone neoplasm
C0006079	Bowen's disease
C0006105	Brain abscess
C0006107	Concussion
C0006111	Brain disorder NOS
C0006112	Metabolic encephalopathy
C0006114	Edema cerebral
C0006118	Brain neoplasm
C0006142	Breast cancer
C0006144	Breast cyst
C0006145	Breast disorder
C0006147	Breast feeding
C0006152	Breast swelling
C0006261	Bronchial disorder
C0006266	Bronchospasm
C0006267	Bronchiectasis
C0006271	Bronchiolitis
C0006272	Obliterative bronchiolitis
C0006277	Bronchitis
C0006285	Bronchopneumonia
C0006287	Bronchopulmonary dysplasia
C0006325	Bruxism
C0006370	Bulimia
C0006384	Bundle branch block
C0006413	Burkitt's lymphoma
C0006430	Burning mouth syndrome
C0006434	Burn
C0006435	Chemical burn
C0006444	Bursitis
C0006625	Cachexia
C0006663	Calcinosis
C0006705	Calcium metabolism disorder
C0006826	Neoplasm malignant
C0006840	Candida infection
C0006846	Skin candida
C0006848	Mucocutaneous candidiasis
C0006849	Oral candidiasis
C0006852	Vaginal moniliasis
C0006905	Capillary fragility
C0007078	Carbuncle
C0007095	Carcinoid tumour
C0007097	Carcinoma
C0007102	Colon cancer
C0007103	Endometrial neoplasm malignant
C0007107	Laryngeal cancer
C0007112	Adenocarcinoma of prostate
C0007113	Rectal cancer
C0007114	Skin cancer
C0007115	Thyroid cancer
C0007117	Basal cell carcinoma
C0007120	Bronchioloalveolar carcinoma
C0007131	Non-small cell lung cancer
C0007134	Renal cell carcinoma
C0007137	Squamous cell carcinoma
C0007166	Cardiac output decreased
C0007177	Cardiac tamponade
C0007193	Congestive cardiomyopathy
C0007194	Hypertrophic cardiomyopathy
C0007196	Restrictive cardiomyopathy
C0007222	Cardiovascular disorder
C0007274	Carotid artery thrombosis
C0007280	Carotid bruit
C0007282	Carotid artery stenosis
C0007286	Carpal tunnel syndrome
C0007302	Chondropathy
C0007370	Catalepsy
C0007384	Cataplexy
C0007398	Catatonia
C0007462	Causalgia
C0007642	Cellulitis
C0007682	Central nervous system disorder
C0007758	Cerebellar ataxia
C0007760	Cerebellar syndrome
C0007766	Intracranial aneurysm
C0007773	Cerebral arteritis
C0007780	Cerebral artery embolism
C0007785	Cerebral infarction
C0007787	Transient ischaemic attack
C0007815	Cerebrospinal fluid rhinorrhea
C0007820	Cerebrovascular disorder
C0007855	Cervical polyp
C0007859	Neck pain
C0007860	Cervicitis
C0007863	Occipital neuralgia
C0007867	Cervix disorder
C0007868	Cervical dysplasia
C0007869	Uterine cervical erosion
C0007873	Cervix neoplasm
C0007933	Chalazion
C0007971	Cheilitis
C0008031	Chest pain
C0008033	Pleuritic pain
C0008035	Chest wall pain
C0008039	Cheyne-Stokes respiration
C0008049	Varicella
C0008149	Chlamydial infection
C0008301	Choking
C0008311	Cholangitis
C0008313	Cholangitis sclerosing
C0008325	Cholecystitis
C0008350	Cholelithiasis
C0008370	Cholestasis
C0008372	Cholestasis intrahepatic
C0008449	Chondrodystrophy
C0008489	Chorea
C0008497	Choriocarcinoma
C0008513	Chorioretinitis
C0008526	Choroiditis
C0008626	Cytogenetic abnormality
C0008728	Allergic granulomatous angiitis
C0008733	Chylothorax
C0008909	Claustrophobia
C0008924	Cleft lip
C0008925	Cleft palate
C0009024	Clonus
C0009062	Clostridial infection
C0009081	Congenital clubfoot
C0009088	Cluster headache
C0009144	Tongue coated
C0009193	Coccydynia
C0009241	Cognitive disorder
C0009269	Cold intolerance
C0009319	Colitis
C0009324	Colitis ulcerative
C0009326	Collagen disorder
C0009376	Colonic polyp
C0009377	Colonic pseudo-obstruction
C0009421	Coma
C0009443	Common cold
C0009450	Infection
C0009492	Compartment syndrome
C0009595	Obsessive-compulsive personality disorder
C0009663	Anogenital warts
C0009676	Confusional state
C0009759	Conjunctival disorder
C0009760	Conjunctival haemorrhage
C0009763	Conjunctivitis
C0009766	Conjunctivitis allergic
C0009768	Conjunctivitis bacterial
C0009782	Connective tissue disorder
C0009806	Constipation
C0009917	Muscle contracture
C0009918	Joint contracture
C0009938	Contusion
C0009946	Conversion disorder
C0009952	Febrile convulsion
C0010032	Corneal abrasion
C0010034	Corneal disorder
C0010037	Corneal oedema
C0010038	Corneal opacity
C0010043	Ulcerative keratitis
C0010054	Arteriosclerosis coronary artery
C0010068	Coronary heart disease
C0010072	Coronary artery thrombosis
C0010073	Arteriospasm coronary
C0010093	Corpus luteum cyst
C0010200	Cough
C0010263	Cramp of limb
C0010266	Cranial nerve disorder
C0010278	Craniosynostosis
C0010346	Crohn's disease
C0010399	Crying
C0010414	Cryptococcosis
C0010417	Cryptorchism
C0010418	Cryptosporidiosis infection
C0010481	Cushing's syndrome
C0010495	Cutis laxa
C0010520	Cyanosis
C0010666	Acne cystic
C0010692	Cystitis
C0010709	Cyst
C0010823	Cytomegalovirus infection
C0010828	Cytopenia
C0010930	Dacryocystitis
C0011053	Deafness
C0011057	Sudden hearing loss
C0011071	Sudden death
C0011124	Libido decreased
C0011127	Decubitus ulcer
C0011168	Dysphagia
C0011175	Dehydration
C0011206	Delirium
C0011253	Delusion
C0011269	Vascular dementia
C0011304	Demyelination
C0011334	Dental caries
C0011432	Sensitivity of teeth
C0011551	Depersonalisation
C0011570	Depression
C0011581	Depressive disorder
C0011603	Dermatitis
C0011606	Dermatitis exfoliative
C0011609	Drug eruption
C0011615	Dermatitis atopic
C0011616	Dermatitis contact
C0011630	Fungal skin infection
C0011633	Dermatomyositis
C0011636	Dermatophytosis
C0011644	Scleroderma
C0011649	Dermoid cyst
C0011757	Developmental coordination disorder
C0011848	Diabetes insipidus
C0011849	Diabetes mellitus
C0011854	Type 1 diabetes mellitus
C0011860	Type 2 diabetes mellitus
C0011875	Diabetic vascular disorder
C0011880	Diabetic ketoacidosis
C0011881	Diabetic nephropathy
C0011882	Diabetic neuropathy
C0011884	Diabetic retinopathy
C0011974	Dermatitis diaper
C0011991	Diarrhoea
C0012241	Gastrointestinal malformation
C0012254	Digitalis toxicity
C0012359	Distention
C0012569	Diplopia
C0012624	Intervertebral discitis
C0012691	Joint dislocation
C0012739	Disseminated intravascular coagulation
C0012746	Dissociative disorder
C0012797	Diuresis
C0012813	Diverticulitis
C0012817	Diverticulum
C0012833	Dizziness
C0013080	Trisomy 21
C0013132	Drooling
C0013144	Drowsiness
C0013146	Drug abuse
C0013182	Drug hypersensitivity
C0013220	Drug tolerance
C0013221	Drug toxicity
C0013238	Dry eye syndrome
C0013240	Alveolar osteitis
C0013274	Patent ductus arteriosus
C0013295	Duodenal ulcer
C0013298	Duodenitis
C0013312	Dupuytren's contracture
C0013336	Dwarfism
C0013362	Dysarthria
C0013363	Dysautonomia
C0013369	Dysentery
C0013378	Dysgeusia
C0013384	Dyskinesia
C0013390	Dysmenorrhoea
C0013395	Dyspepsia
C0013404	Dyspnoea
C0013415	Dysthymic disorder
C0013418	Abnormal labour
C0013423	Idiopathic torsion dystonia
C0013428	Dysuria
C0013447	Ear disorder
C0013456	Ear pain
C0013473	Eating disorder
C0013491	Ecchymosis
C0013528	Echolalia
C0013537	Eclampsia
C0013589	Ectromelia
C0013592	Ectropion
C0013595	Eczema
C0013604	Oedema
C0013608	Oedema due to cardiac disease
C0013609	Localised oedema
C0013687	Effusion
C0013781	Electric shock
C0013922	Embolism
C0013927	Amniotic fluid embolism
C0013928	Fat embolism
C0013985	Emotional disturbance NOS
C0014034	Enanthema
C0014038	Encephalitis
C0014059	Acute disseminated encephalomyelitis
C0014065	Encephalocele
C0014118	Endocarditis
C0014130	Endocrine disorder
C0014173	Endometrial hyperplasia
C0014175	Endometriosis
C0014179	Endometritis
C0014236	Endophthalmitis
C0014306	Enophthalmos
C0014335	Enteritis
C0014356	Enterocolitis
C0014358	Pseudomembranous enterocolitis
C0014394	Enuresis
C0014431	Enzyme induction
C0014457	Eosinophilia
C0014488	Epicondylitis
C0014511	Cyst epidermal
C0014518	Toxic epidermal necrolysis
C0014527	Epidermolysis bullosa
C0014534	Epididymitis
C0014541	Epiglottitis
C0014544	Epilepsy
C0014549	Grand mal convulsion
C0014550	Myoclonic epilepsy
C0014553	Petit mal epilepsy
C0014571	Epiphysiolysis
C0014583	Episcleritis
C0014591	Epistaxis
C0014714	Ergot poisoning
C0014718	Intertrigo candida
C0014724	Eructation
C0014733	Erysipelas
C0014742	Erythema multiforme
C0014743	Erythema nodosum
C0014745	Palmar erythema
C0014752	Erythrasma
C0014800	Hyperplasia erythroid
C0014804	Erythromelalgia
C0014848	Oesophageal achalasia
C0014852	Oesophageal disorder
C0014858	Oesophageal motility disorder
C0014860	Oesophageal perforation
C0014863	Oesophageal spasm
C0014866	Oesophageal stenosis
C0014867	Varices oesophageal
C0014868	Oesophagitis
C0014869	Reflux esophagitis
C0015230	Rash
C0015256	Excoriation
C0015300	Exophthalmos
C0015371	Extrapyramidal disorder
C0015376	Extravasation
C0015393	Congenital eye disorder
C0015395	Eye burns
C0015397	Eye disorder
C0015401	Foreign body in eye
C0015402	Eye haemorrhage
C0015403	Eye infection
C0015408	Eye injury
C0015409	Eye penetration
C0015423	Eyelid disorder
C0015459	Face injury
C0015467	Facial neuralgia
C0015468	Facial pain
C0015469	Facial paralysis
C0015523	Factor XI deficiency
C0015544	Failure to thrive
C0015624	Fanconi syndrome
C0015644	Fasciculation
C0015645	Fasciitis
C0015663	Fasting
C0015668	Fat necrosis
C0015672	Fatigue
C0015674	Chronic fatigue syndrome
C0015695	Liver fatty
C0015726	Fear
C0015732	Faecal incontinence
C0015734	Faecalith
C0015786	Female sexual arousal disorder
C0015802	Femur fracture
C0015806	Femoral neck fracture
C0015914	Fertilization
C0015923	Foetal alcohol syndrome
C0015927	Foetal death
C0015929	Foetal disorder
C0015930	Foetal distress syndrome
C0015934	Microsomia
C0015967	Body temperature increased
C0015970	Fever of unknown origin
C0016033	Fibrocystic disease
C0016034	Fibrocystic breast disease
C0016053	Fibromyalgia
C0016059	Fibrosis
C0016167	Anal fissure
C0016169	Fistula
C0016199	Flank pain
C0016204	Flatulence
C0016242	Vitreous floaters
C0016325	Fluorosis
C0016382	Flushing
C0016385	Cardiac flutter
C0016397	Localised infection
C0016412	Folate deficiency
C0016436	Folliculitis
C0016470	Food allergy
C0016479	Food poisoning
C0016508	Congenital foot malformation
C0016512	Foot pain
C0016514	Foot and mouth disease
C0016522	Foramen ovale patent
C0016542	Foreign body
C0016579	Formication
C0016655	Multiple fractures
C0016658	Fracture
C0016664	Stress fracture
C0016689	Ephelides
C0016722	Frigidity
C0016751	Fructose intolerance
C0016770	Frustration
C0016807	Intestinal functional disorder
C0016842	Pectus excavatum
C0016867	Furunculosis
C0016927	Gagging
C0016977	Gallbladder disorder
C0017086	Gangrene
C0017105	Gas gangrene
C0017150	Gastrinoma
C0017152	Gastritis
C0017160	Gastroenteritis
C0017168	Gastrooesophageal reflux disease
C0017178	Gastrointestinal disorder
C0017181	Gastrointestinal haemorrhage
C0017185	Gastrointestinal neoplasm
C0017411	Genital disorder female
C0017412	Genital disorder male
C0017551	Gilbert's syndrome
C0017563	Gingival disorder
C0017565	Gingival bleeding
C0017566	Gingival hyperplasia
C0017567	Gingival hypertrophy
C0017572	Gingival recession
C0017574	Gingivitis
C0017601	Glaucoma
C0017605	Angle closure glaucoma
C0017636	Glioblastoma
C0017650	Globus hystericus
C0017657	Glomerulitis
C0017658	Glomerulonephritis
C0017662	Glomerulonephritis membranoproliferative
C0017665	Glomerulonephritis membranous
C0017668	Focal segmental glomerulosclerosis
C0017672	Glossodynia
C0017675	Glossitis
C0017677	Tongue geographic
C0017979	Glycosuria
C0018021	Goitre
C0018081	Gonorrhoea
C0018099	Gout
C0018129	Transplant rejection
C0018133	Graft versus host disease
C0018134	Graft versus host reaction
C0018188	Granuloma
C0018213	Basedow's disease
C0018378	Guillain-Barre syndrome
C0018418	Gynaecomastia
C0018500	Hair disorder
C0018520	Breath odour
C0018524	Hallucination
C0018552	Hamartoma
C0018621	Seasonal allergy
C0018674	Head injury
C0018681	Headache
C0018772	Partial hearing loss
C0018780	High frequency deafness
C0018784	Deafness neurosensory
C0018790	Cardiac arrest
C0018794	Block heart
C0018798	Heart malformation
C0018799	Cardiac disorder
C0018800	Cardiomegaly
C0018801	Cardiac failure
C0018802	Cardiac failure congestive
C0018808	Cardiac murmur
C0018811	Foetal heart rate
C0018813	Myocardial rupture
C0018816	Cardiac septal defect
C0018817	Atrial septal defect
C0018818	Ventricular septal defect
C0018824	Cardiac valve disease
C0018834	Heartburn
C0018839	Heat exhaustion
C0018843	Heat stroke
C0018916	Haemangioma
C0018924	Haemarthrosis
C0018926	Haematemesis
C0018932	Haematochezia
C0018939	Blood disorder
C0018944	Haematoma
C0018946	Subdural haematoma
C0018949	Spinal cord haemorrhage
C0018965	Haematuria
C0018975	Blindness day
C0018979	Hemianopia
C0018987	Hemimelia
C0018989	Hemiparesis
C0018991	Hemiplegia
C0018994	Haemobilia
C0018995	Haemochromatosis
C0019048	Haemoglobinuria
C0019054	Haemolysis
C0019061	Haemolytic uraemic syndrome
C0019064	Pericardial haemorrhage
C0019065	Peritoneal haemorrhage
C0019069	Factor VIII deficiency
C0019079	Haemoptysis
C0019080	Haemorrhage
C0019087	Haemorrhagic disorder
C0019112	Haemorrhoids
C0019123	Haemothorax
C0019147	Coma hepatic
C0019151	Hepatic encephalopathy
C0019156	Venoocclusive liver disease
C0019158	Hepatitis
C0019159	Hepatitis A
C0019163	Hepatitis B
C0019187	Hepatitis alcoholic
C0019189	Chronic hepatitis
C0019193	Hepatitis toxic
C0019196	Hepatitis C
C0019209	Hepatomegaly
C0019212	Hepatorenal syndrome
C0019214	Hepatosplenomegaly
C0019243	Hereditary angioedema
C0019270	Hernia
C0019284	Diaphragmatic hernia
C0019294	Inguinal hernia
C0019322	Umbilical hernia
C0019338	Herpangina
C0019340	Herpes NOS
C0019342	Genital herpes
C0019345	Herpes labialis
C0019348	Herpes simplex
C0019357	Ophthalmic herpes simplex
C0019360	Herpes zoster
C0019364	Ophthalmic herpes zoster
C0019372	Herpes virus infection
C0019385	Meningoencephalitis herpetic
C0019521	Hiccups
C0019555	Developmental hip dysplasia
C0019557	Hip fracture
C0019559	Coxalgia
C0019572	Hirsutism
C0019618	Histiocytosis
C0019621	Langerhans' cell histiocytosis
C0019623	Malignant histiocytosis
C0019655	Histoplasmosis
C0019825	Hoarseness
C0019829	Hodgkin's disease
C0019917	Hordeolum
C0019937	Horner's syndrome
C0020039	Hostility
C0020162	Humerus fracture
C0020175	Hunger
C0020255	Hydrocephalus
C0020295	Hydronephrosis
C0020302	Developmental glaucoma
C0020312	Hydrothorax
C0020429	Hyperpathia
C0020433	Hyperbilirubinaemia
C0020437	Hypercalcaemia
C0020438	Hypercalciuria
C0020440	Hypercapnia
C0020443	Hypercholesterolaemia
C0020452	Hyperaemia
C0020453	Hyperaesthesia
C0020455	Hypergammaglobulinaemia
C0020456	Hyperglycaemia
C0020457	Diabetic hyperosmolar coma
C0020458	Hyperhidrosis
C0020459	Hyperinsulinism
C0020461	Hyperkalaemia
C0020473	Hyperlipidaemia
C0020488	Hypernatraemia
C0020492	Hyperostosis
C0020498	Senile ankylosing vertebral hyperostosis
C0020502	Hyperparathyroidism
C0020503	Hyperparathyroidism secondary
C0020505	Hyperphagia
C0020507	Hyperplasia
C0020510	Nodular regenerative hyperplasia
C0020514	Hyperprolactinaemia
C0020517	Hypersensitivity
C0020522	Type IV hypersensitivity reaction
C0020523	Type I hypersensitivity
C0020532	Hypersplenism
C0020538	Hypertension
C0020540	Malignant hypertension
C0020541	Portal hypertension
C0020542	Pulmonary hypertension
C0020545	Renovascular hypertension
C0020546	Hypertensive crisis
C0020550	Hyperthyroidism
C0020555	Hypertrichosis
C0020557	Hypertriglyceridaemia
C0020564	Hypertrophy
C0020565	Hypertrophy of breast
C0020569	Salivary gland enlargement
C0020578	Hyperventilation
C0020579	Hypervitaminosis A
C0020580	Hypoaesthesia
C0020581	Hyphaema
C0020598	Hypocalcaemia
C0020599	Hypocalciuria
C0020604	Hypochondriasis
C0020615	Hypoglycaemia
C0020617	Hypoglycaemic coma
C0020619	Hypogonadism
C0020620	Hypohidrosis
C0020621	Hypokalaemia
C0020624	Hypomenorrhoea
C0020625	Hyponatraemia
C0020626	Hypoparathyroidism
C0020635	Hypopituitarism
C0020639	Hypoproteinaemia
C0020640	Factor II deficiency
C0020649	Hypotension
C0020651	Orthostatic hypotension
C0020672	Body temperature decreased
C0020676	Hypothyroidism
C0020678	Hypotrichosis
C0020683	Hypovolaemic shock
C0020701	Hysteria
C0020757	Ichthyosis
C0020877	Ileitis
C0020903	Illusion
C0020964	Immune status
C0020981	Angioimmunoblastic T-cell lymphoma
C0021051	Immunodeficiency
C0021053	Immune system disorder
C0021061	Immunology test
C0021092	Cerumen impaction
C0021099	Impetigo
C0021100	Bullous impetigo
C0021122	Impulse-control disorder
C0021141	Inappropriate antidiuretic hormone secretion
C0021167	Incontinence
C0021177	Libido increased
C0021290	Neonatal disorder
C0021294	Premature baby
C0021308	Infarction
C0021313	Kidney infection
C0021345	Infectious mononucleosis
C0021359	Infertility
C0021361	Infertility female
C0021364	Infertility male
C0021368	Inflammation
C0021390	Inflammatory bowel disease
C0021400	Influenza
C0021564	Insect bite NOS
C0021605	Insomnia NEC
C0021655	Insulin resistance
C0021670	Insulinoma
C0021775	Intermittent claudication
C0021776	Intermittent explosive disorder
C0021807	Intertrigo
C0021831	Unspecified disorder of intestine
C0021843	Intestinal obstruction
C0021845	Intestinal perforation
C0021847	Intestinal pseudo-obstruction
C0021899	IUD expelled
C0021933	Intussusception
C0022073	Iridocyclitis
C0022078	Iris disorder
C0022081	Iritis
C0022104	Irritable bowel syndrome
C0022107	Irritability
C0022116	Ischaemia
C0022281	Eye pruritus
C0022346	Jaundice
C0022353	Jaundice neonatal
C0022354	Jaundice cholestatic
C0022362	Jaw disorder
C0022408	Arthropathy
C0022410	Joint instability
C0022504	Kaposi's varicelliform eruption
C0022541	Kearns-Sayre syndrome
C0022568	Keratitis
C0022572	Keratoacanthoma
C0022573	Keratoconjunctivitis
C0022575	Keratoconjunctivitis sicca
C0022578	Keratoconus
C0022581	Acquired keratoderma
C0022593	Keratosis
C0022602	Actinic keratosis
C0022603	Seborrhoeic keratosis
C0022638	Ketosis
C0022650	Calculus of kidney
C0022658	Nephropathy
C0022660	Renal failure acute
C0022661	Renal failure chronic
C0022665	Renal neoplasm
C0022667	Renal papillary necrosis
C0022672	Nephrosis lower nephron
C0022680	Polycystic kidney
C0022735	Klinefelter's syndrome
C0022821	Kyphosis
C0022876	Premature labour
C0022890	Labyrinthine disorder
C0022893	Labyrinthitis
C0022904	Lacrimal disorder
C0022906	Lacrimal duct obstruction
C0022951	Lactose intolerance
C0023051	Laryngeal disorder
C0023052	Laryngeal oedema
C0023055	Laryngeal neoplasm
C0023066	Laryngospasm
C0023067	Laryngitis
C0023070	Laryngopharyngitis
C0023182	Cerebrospinal fluid leakage
C0023211	Bundle branch block left
C0023212	Left ventricular failure
C0023218	Cramps of lower extremities
C0023222	Leg pain
C0023223	Leg ulcer
C0023370	Leriche syndrome
C0023380	Lethargy
C0023418	Leukaemia
C0023434	Chronic lymphocytic leukaemia
C0023440	Erythroleukaemia
C0023448	Lymphocytic leukaemia
C0023449	Acute lymphocytic leukaemia
C0023467	Acute myeloid leukaemia
C0023470	Myeloid leukaemia
C0023473	Chronic myeloid leukaemia
C0023474	Chronic phase chronic myeloid leukemia
C0023480	Chronic myelomonocytic leukaemia
C0023484	Plasma cell leukaemia
C0023487	Acute promyelocytic leukaemia
C0023501	Leukaemoid reaction
C0023510	White blood cell disorder
C0023518	Leukocytosis
C0023524	Progressive multifocal leukoencephalopathy
C0023529	Periventricular leukomalacia
C0023530	Leukopenia
C0023531	Leukoplakia
C0023532	Leukoplakia oral
C0023533	Leukorrhea
C0023646	Lichen planus
C0023648	Bullous lichen planus
C0023787	Lipodystrophy
C0023794	Lipidosis
C0023798	Lipoma
C0023801	Lipomatosis
C0023860	Listeriosis
C0023885	Liver abscess
C0023890	Hepatic cirrhosis
C0023891	Cirrhosis alcoholic
C0023895	Liver disorder
C0023903	Hepatic neoplasm
C0023976	Long QT syndrome
C0024031	Low back pain
C0024032	Birth weight low
C0024050	Lower gastrointestinal haemorrhage
C0024103	Breast mass
C0024115	Lung disorder
C0024117	Chronic obstructive pulmonary disease
C0024121	Lung neoplasm
C0024137	Cutaneous lupus erythematosus
C0024138	Discoid lupus erythematosus
C0024141	Systemic lupus erythematosus
C0024198	Lyme disease
C0024205	Lymphadenitis
C0024225	Lymphangitis
C0024228	Lymphatic disorder
C0024236	Lymphoedema
C0024248	Lymphocele
C0024282	Lymphocytosis
C0024291	Hemophagocytic lymphohistiocytosis
C0024299	Lymphoma
C0024305	Non-Hodgkin's lymphoma
C0024312	Lymphopenia
C0024314	Lymphoproliferative disorder
C0024437	Macular degeneration
C0024440	Cystoid macular oedema
C0024441	Macular hole
C0024523	Malabsorption
C0024528	Malaise and fatigue
C0024530	Malaria
C0024623	Gastric cancer
C0024790	Paroxysmal nocturnal haemoglobinuria
C0024894	Mastitis
C0024899	Mastocytosis
C0024902	Breast pain
C0024904	Mastoiditis
C0025007	Measles
C0025061	Mediastinal disorder
C0025063	Mediastinum neoplasm
C0025160	Megacolon
C0025162	Megacolon toxic
C0025193	Melancholia
C0025202	Malignant melanoma
C0025209	Melanosis
C0025218	Chloasma
C0025222	Melaena
C0025274	Menarche
C0025281	Meniere's disease
C0025286	Meningioma
C0025287	Meningism
C0025289	Meningitis
C0025290	Meningitis aseptic
C0025297	Meningitis viral
C0025309	Meningoencephalitis
C0025312	Meningomyelocele
C0025319	Menopausal disorder
C0025320	Menopause
C0025322	Premature menopause
C0025323	Menorrhagia
C0025345	Menstrual disorder
C0025362	Mental retardation
C0025500	Mesothelioma
C0025517	Metabolic disorder
C0025568	Metaplasia
C0025637	Methaemoglobinaemia
C0025874	Metrorrhagia
C0025958	Microcephaly
C0026113	Miliaria
C0026205	Miosis
C0026265	Mitral valve disease
C0026266	Mitral valve incompetence
C0026272	Mixed connective tissue disease
C0026393	Molluscum contagiosum
C0026603	Motion sickness
C0026633	Congenital oral malformation
C0026636	Oral disorder
C0026640	Oral neoplasm
C0026650	Movement disorder
C0026718	Mucormycosis
C0026751	Multiparous
C0026764	Plasma cell myeloma
C0026766	Multi-organ failure
C0026769	Multiple sclerosis
C0026821	Cramp muscle
C0026825	Muscle tone flaccid
C0026826	Hypertonia
C0026827	Hypotonia
C0026836	Muscle relaxation
C0026837	Muscle rigidity
C0026838	Muscle spasticity
C0026846	Muscle atrophy
C0026848	Myopathy
C0026857	Musculoskeletal disorder
C0026858	Musculoskeletal pain
C0026884	Mutism
C0026896	Myasthenia gravis
C0026916	Mycobacterium avium complex infection
